region_code,settlement_datetime,trading_date,rrp_aud_mwh,total_demand_mw,period_type
NSW1,2026-03-01 00:05:00,2026-03-01,57.31,7116.32,TRADE
NSW1,2026-03-01 00:10:00,2026-03-01,57.06,7182.74,TRADE
NSW1,2026-03-01 00:15:00,2026-03-01,57.31,7150.51,TRADE
NSW1,2026-03-01 00:20:00,2026-03-01,57.06,7043.45,TRADE
NSW1,2026-03-01 00:25:00,2026-03-01,57.06,7094.18,TRADE
NSW1,2026-03-01 00:30:00,2026-03-01,56.98,6991.15,TRADE
NSW1,2026-03-01 00:35:00,2026-03-01,56.98,6903.59,TRADE
NSW1,2026-03-01 00:40:00,2026-03-01,53.35,6913.27,TRADE
NSW1,2026-03-01 00:45:00,2026-03-01,56.98,6827.1,TRADE
NSW1,2026-03-01 00:50:00,2026-03-01,57.31,6875.62,TRADE
NSW1,2026-03-01 00:55:00,2026-03-01,56.98,6873.1,TRADE
NSW1,2026-03-01 01:00:00,2026-03-01,51.81,6780.64,TRADE
NSW1,2026-03-01 01:05:00,2026-03-01,52.85,6755.99,TRADE
NSW1,2026-03-01 01:10:00,2026-03-01,53.72,6825.17,TRADE
NSW1,2026-03-01 01:15:00,2026-03-01,53.04,6781.36,TRADE
NSW1,2026-03-01 01:20:00,2026-03-01,37.89,6722.96,TRADE
NSW1,2026-03-01 01:25:00,2026-03-01,37.89,6737.76,TRADE
NSW1,2026-03-01 01:30:00,2026-03-01,37.89,6709.83,TRADE
NSW1,2026-03-01 01:35:00,2026-03-01,37.89,6657.68,TRADE
NSW1,2026-03-01 01:40:00,2026-03-01,38.98,6614.1,TRADE
NSW1,2026-03-01 01:45:00,2026-03-01,14.41,6656.88,TRADE
NSW1,2026-03-01 01:50:00,2026-03-01,36.56,6651.73,TRADE
NSW1,2026-03-01 01:55:00,2026-03-01,21.72,6572.54,TRADE
NSW1,2026-03-01 02:00:00,2026-03-01,27.03,6582.5,TRADE
NSW1,2026-03-01 02:05:00,2026-03-01,40.86,6564.07,TRADE
NSW1,2026-03-01 02:10:00,2026-03-01,21.66,6618.53,TRADE
NSW1,2026-03-01 02:15:00,2026-03-01,21.85,6517.78,TRADE
NSW1,2026-03-01 02:20:00,2026-03-01,50.34,6637.11,TRADE
NSW1,2026-03-01 02:25:00,2026-03-01,25.11,6574.34,TRADE
NSW1,2026-03-01 02:30:00,2026-03-01,25.26,6492.9,TRADE
NSW1,2026-03-01 02:35:00,2026-03-01,44.26,6442.76,TRADE
NSW1,2026-03-01 02:40:00,2026-03-01,53.63,6559.92,TRADE
NSW1,2026-03-01 02:45:00,2026-03-01,35.88,6530.25,TRADE
NSW1,2026-03-01 02:50:00,2026-03-01,35.88,6531.93,TRADE
NSW1,2026-03-01 02:55:00,2026-03-01,35.88,6530.23,TRADE
NSW1,2026-03-01 03:00:00,2026-03-01,54.33,6556.29,TRADE
NSW1,2026-03-01 03:05:00,2026-03-01,35.88,6553.83,TRADE
NSW1,2026-03-01 03:10:00,2026-03-01,35.88,6521.61,TRADE
NSW1,2026-03-01 03:15:00,2026-03-01,35.88,6508.19,TRADE
NSW1,2026-03-01 03:20:00,2026-03-01,25.61,6405.49,TRADE
NSW1,2026-03-01 03:25:00,2026-03-01,35.88,6427.96,TRADE
NSW1,2026-03-01 03:30:00,2026-03-01,35.88,6394.78,TRADE
NSW1,2026-03-01 03:35:00,2026-03-01,35.86,6330.78,TRADE
NSW1,2026-03-01 03:40:00,2026-03-01,25.93,6350.87,TRADE
NSW1,2026-03-01 03:45:00,2026-03-01,36.21,6362.46,TRADE
NSW1,2026-03-01 03:50:00,2026-03-01,35.88,6294.52,TRADE
NSW1,2026-03-01 03:55:00,2026-03-01,35.88,6310.83,TRADE
NSW1,2026-03-01 04:00:00,2026-03-01,25.45,6296.19,TRADE
NSW1,2026-03-01 04:05:00,2026-03-01,14.65,6309.59,TRADE
NSW1,2026-03-01 04:10:00,2026-03-01,37.89,6388.31,TRADE
NSW1,2026-03-01 04:15:00,2026-03-01,37.93,6363.11,TRADE
NSW1,2026-03-01 04:20:00,2026-03-01,10.5,6461.5,TRADE
NSW1,2026-03-01 04:25:00,2026-03-01,16.5,6480.98,TRADE
NSW1,2026-03-01 04:30:00,2026-03-01,25.61,6510.55,TRADE
NSW1,2026-03-01 04:35:00,2026-03-01,14.82,6458.55,TRADE
NSW1,2026-03-01 04:40:00,2026-03-01,25.51,6537.92,TRADE
NSW1,2026-03-01 04:45:00,2026-03-01,14.93,6538.81,TRADE
NSW1,2026-03-01 04:50:00,2026-03-01,25.46,6495.27,TRADE
NSW1,2026-03-01 04:55:00,2026-03-01,25.28,6495.56,TRADE
NSW1,2026-03-01 05:00:00,2026-03-01,21.2,6521.75,TRADE
NSW1,2026-03-01 05:05:00,2026-03-01,25.54,6502.16,TRADE
NSW1,2026-03-01 05:10:00,2026-03-01,25.74,6559.04,TRADE
NSW1,2026-03-01 05:15:00,2026-03-01,20.56,6569.02,TRADE
NSW1,2026-03-01 05:20:00,2026-03-01,14.92,6536.5,TRADE
NSW1,2026-03-01 05:25:00,2026-03-01,15.04,6539.94,TRADE
NSW1,2026-03-01 05:30:00,2026-03-01,25.38,6618.79,TRADE
NSW1,2026-03-01 05:35:00,2026-03-01,22.86,6612.31,TRADE
NSW1,2026-03-01 05:40:00,2026-03-01,22.7,6536.46,TRADE
NSW1,2026-03-01 05:45:00,2026-03-01,28.9,6619.0,TRADE
NSW1,2026-03-01 05:50:00,2026-03-01,35.88,6656.41,TRADE
NSW1,2026-03-01 05:55:00,2026-03-01,37.93,6715.64,TRADE
NSW1,2026-03-01 06:00:00,2026-03-01,35.88,6707.72,TRADE
NSW1,2026-03-01 06:05:00,2026-03-01,44.26,6779.83,TRADE
NSW1,2026-03-01 06:10:00,2026-03-01,35.88,6692.91,TRADE
NSW1,2026-03-01 06:15:00,2026-03-01,35.88,6745.96,TRADE
NSW1,2026-03-01 06:20:00,2026-03-01,35.88,6744.49,TRADE
NSW1,2026-03-01 06:25:00,2026-03-01,22.07,6694.34,TRADE
NSW1,2026-03-01 06:30:00,2026-03-01,35.8,6813.55,TRADE
NSW1,2026-03-01 06:35:00,2026-03-01,37.89,6830.53,TRADE
NSW1,2026-03-01 06:40:00,2026-03-01,22.07,6857.39,TRADE
NSW1,2026-03-01 06:45:00,2026-03-01,14.81,6721.87,TRADE
NSW1,2026-03-01 06:50:00,2026-03-01,12.64,6789.0,TRADE
NSW1,2026-03-01 06:55:00,2026-03-01,21.54,6830.55,TRADE
NSW1,2026-03-01 07:00:00,2026-03-01,0.77,6776.56,TRADE
NSW1,2026-03-01 07:05:00,2026-03-01,22.07,6873.25,TRADE
NSW1,2026-03-01 07:10:00,2026-03-01,13.57,6853.96,TRADE
NSW1,2026-03-01 07:15:00,2026-03-01,22.99,6903.08,TRADE
NSW1,2026-03-01 07:20:00,2026-03-01,22.07,6897.74,TRADE
NSW1,2026-03-01 07:25:00,2026-03-01,22.07,6941.59,TRADE
NSW1,2026-03-01 07:30:00,2026-03-01,13.9,6938.04,TRADE
NSW1,2026-03-01 07:35:00,2026-03-01,22.07,7028.65,TRADE
