REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026/03/01 00:05:00,7116.32,57.31,TRADE
NSW1,2026/03/01 00:10:00,7182.74,57.06,TRADE
NSW1,2026/03/01 00:15:00,7150.51,57.31,TRADE
NSW1,2026/03/01 00:20:00,7043.45,57.06,TRADE
NSW1,2026/03/01 00:25:00,7094.18,57.06,TRADE
NSW1,2026/03/01 00:30:00,6991.15,56.98,TRADE
NSW1,2026/03/01 00:35:00,6903.59,56.98,TRADE
NSW1,2026/03/01 00:40:00,6913.27,53.35,TRADE
NSW1,2026/03/01 00:45:00,6827.1,56.98,TRADE
NSW1,2026/03/01 00:50:00,6875.62,57.31,TRADE
NSW1,2026/03/01 00:55:00,6873.1,56.98,TRADE
NSW1,2026/03/01 01:00:00,6780.64,51.81,TRADE
NSW1,2026/03/01 01:05:00,6755.99,52.85,TRADE
NSW1,2026/03/01 01:10:00,6825.17,53.72,TRADE
NSW1,2026/03/01 01:15:00,6781.36,53.04,TRADE
NSW1,2026/03/01 01:20:00,6722.96,37.89,TRADE
NSW1,2026/03/01 01:25:00,6737.76,37.89,TRADE
NSW1,2026/03/01 01:30:00,6709.83,37.89,TRADE
NSW1,2026/03/01 01:35:00,6657.68,37.89,TRADE
NSW1,2026/03/01 01:40:00,6614.1,38.98,TRADE
NSW1,2026/03/01 01:45:00,6656.88,14.41,TRADE
NSW1,2026/03/01 01:50:00,6651.73,36.56,TRADE
NSW1,2026/03/01 01:55:00,6572.54,21.72,TRADE
NSW1,2026/03/01 02:00:00,6582.5,27.03,TRADE
NSW1,2026/03/01 02:05:00,6564.07,40.86,TRADE
NSW1,2026/03/01 02:10:00,6618.53,21.66,TRADE
NSW1,2026/03/01 02:15:00,6517.78,21.85,TRADE
NSW1,2026/03/01 02:20:00,6637.11,50.34,TRADE
NSW1,2026/03/01 02:25:00,6574.34,25.11,TRADE
NSW1,2026/03/01 02:30:00,6492.9,25.26,TRADE
NSW1,2026/03/01 02:35:00,6442.76,44.26,TRADE
NSW1,2026/03/01 02:40:00,6559.92,53.63,TRADE
NSW1,2026/03/01 02:45:00,6530.25,35.88,TRADE
NSW1,2026/03/01 02:50:00,6531.93,35.88,TRADE
NSW1,2026/03/01 02:55:00,6530.23,35.88,TRADE
NSW1,2026/03/01 03:00:00,6556.29,54.33,TRADE
NSW1,2026/03/01 03:05:00,6553.83,35.88,TRADE
NSW1,2026/03/01 03:10:00,6521.61,35.88,TRADE
NSW1,2026/03/01 03:15:00,6508.19,35.88,TRADE
NSW1,2026/03/01 03:20:00,6405.49,25.61,TRADE
NSW1,2026/03/01 03:25:00,6427.96,35.88,TRADE
