REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2026/03/01 00:05:00,6300.8,60.12,TRADE
QLD1,2026/03/01 00:10:00,6204.49,59.44,TRADE
QLD1,2026/03/01 00:15:00,6156.16,59.14,TRADE
QLD1,2026/03/01 00:20:00,6193.64,59.41,TRADE
QLD1,2026/03/01 00:25:00,6123.68,58.64,TRADE
QLD1,2026/03/01 00:30:00,6070.19,58.13,TRADE
QLD1,2026/03/01 00:35:00,6096.34,57.79,TRADE
QLD1,2026/03/01 00:40:00,6048.66,53.73,TRADE
QLD1,2026/03/01 00:45:00,6082.33,57.75,TRADE
QLD1,2026/03/01 00:50:00,6071.62,58.09,TRADE
QLD1,2026/03/01 00:55:00,6035.54,57.37,TRADE
QLD1,2026/03/01 01:00:00,6004.33,52.75,TRADE
QLD1,2026/03/01 01:05:00,5969.5,53.46,TRADE
QLD1,2026/03/01 01:10:00,6001.31,53.73,TRADE
QLD1,2026/03/01 01:15:00,6056.25,53.73,TRADE
QLD1,2026/03/01 01:20:00,5921.93,38.29,TRADE
QLD1,2026/03/01 01:25:00,5933.64,38.30,TRADE
QLD1,2026/03/01 01:30:00,5893.14,37.81,TRADE
QLD1,2026/03/01 01:35:00,5852.06,37.55,TRADE
QLD1,2026/03/01 01:40:00,5870.84,38.63,TRADE
QLD1,2026/03/01 01:45:00,5901.61,14.47,TRADE
QLD1,2026/03/01 01:50:00,5832.91,35.56,TRADE
QLD1,2026/03/01 01:55:00,5835.69,21.51,TRADE
QLD1,2026/03/01 02:00:00,5866.08,26.63,TRADE
QLD1,2026/03/01 02:05:00,5846.08,41.72,TRADE
QLD1,2026/03/01 02:10:00,5854.38,21.73,TRADE
QLD1,2026/03/01 02:15:00,5786.11,21.75,TRADE
QLD1,2026/03/01 02:20:00,5790.72,51.05,TRADE
QLD1,2026/03/01 02:25:00,5747.73,24.99,TRADE
QLD1,2026/03/01 02:30:00,5782.37,24.99,TRADE
QLD1,2026/03/01 02:35:00,5844.5,44.36,TRADE
QLD1,2026/03/01 02:40:00,5790.31,52.75,TRADE
QLD1,2026/03/01 02:45:00,5831.47,35.52,TRADE
QLD1,2026/03/01 02:50:00,5744.54,34.83,TRADE
QLD1,2026/03/01 02:55:00,5728.46,34.82,TRADE
QLD1,2026/03/01 03:00:00,5771.43,52.75,TRADE
QLD1,2026/03/01 03:05:00,5730.67,34.82,TRADE
