column_name,distinct_raw_values,missing_or_marker_rows,missing_or_marker_pct
listing_id,10830,0,0.0
source,19,112,1.0
address,8775,881,7.87
suburb,258,213,1.9
state,20,374,3.34
postcode,661,468,4.18
council_area,126,971,8.68
region,17,1352,12.08
distance_to_cbd_km,69,1161,10.38
lat,8044,2837,25.35
lon,8082,2828,25.27
property_type,40,0,0.0
bedrooms,62,914,8.17
bathrooms,21,1148,10.26
car_spaces,21,1205,10.77
toilets,6,2173,19.42
land_size,5280,1623,14.5
building_area,806,4096,36.6
year_built,128,3328,29.74
has_pool,13,2020,18.05
has_garage,13,1693,15.13
sale_price,3913,0,0.0
price_raw_aud,2432,1627,14.54
sale_date,5639,575,5.14
sale_method,19,649,5.8
days_on_market,95,3336,29.81
inspection_note,11,6265,55.99
agent_name,40,872,7.79
agency_name,41,676,6.04
agent_phone,9497,1495,13.36
rba_cash_rate_pct,14,0,0.0
market_sentiment,17,0,0.0
market_context,37,1668,14.91
suburb_median_price,924,2012,17.98
auction_clearance_rate_pct,484,3327,29.73
weekly_rent_aud,367,5227,46.71
property_count_suburb,6786,1784,15.94
