date,open_price,high_price,low_price,close_price,volume,company_id
2023-03-01,160.92,163.59,160.59,162.05,7470391,8
2023-03-02,161.98,163.49,161.5901,162.56,5582097,8
2023-03-03,160.87,165.58,160.42,164.96,6007546,8
2023-03-06,164.34,166.8,163.81,166.17,7703600,8
2023-03-07,165.7,166.6,163.58,164.03,7392967,8
2023-03-08,163.23,165.29,161.38,162.99,5435819,8
2023-03-09,163.79,165.49,160.19,160.51,6214745,8
2023-03-10,160.94,164.67,158.67,159.67,7385803,8
2023-03-13,156.44,160.95,153.8,158.71,10106133,8
2023-03-14,158.26,164.02,157.88,160.76,10035193,8
2023-03-15,155.59,157.95,152.01,153.8,14063141,8
2023-03-16,150.16,155.465,149.91,154.29,12852173,8
2023-03-17,153.62,155.38,150.6,152.34,33161774,8
2023-03-20,151.74,155.78,151.29,154.58,8461413,8
2023-03-21,157.16,159.57,156.47,159.31,9753541,8
2023-03-22,159.87,160.06,155.93,156.07,6314994,8
2023-03-23,157.02,158.755,153.14,154.52,7859437,8
2023-03-24,152.1,156.65,151.83,156.06,6601923,8
2023-03-27,157.4,158.48,155.69,157.65,7006768,8
2023-03-28,157.28,160.19,156.68,159.49,5605382,8
2023-03-29,160.62,161.32,159.3348,160.86,7569727,8
2023-03-30,162.25,163.01,161.58,162.39,6322353,8
2023-03-31,162.7,163.72,162.15,163.16,7041436,8
2023-04-03,169.8,171.1,168.92,169.95,12868174,8
2023-04-04,171.14,171.14,167.72,169.04,7521448,8
2023-04-05,169.26,170.44,167.74,169.88,6478114,8
2023-04-06,169.345,169.41,167.13,167.65,5803168,8
2023-04-10,168.49,169.675,167.31,168.29,5923503,8
2023-04-11,169.065,170.34,168.07,169.22,5469592,8
2023-04-12,170.45,171.12,169.47,169.82,6157875,8
2023-04-13,170.25,172.47,169.82,172.09,6856568,8
2023-04-14,172.5,172.88,171.22,172.44,4930721,8
2023-04-17,172.39,172.54,170.22,170.92,7005985,8
2023-04-18,170.82,172.39,170.125,170.52,8045627,8
2023-04-19,169.46,170.74,169.095,170.68,5506770,8
2023-04-20,168.76,170.06,168.02,169.85,5851104,8
2023-04-21,169.83,170.59,168.84,169.12,7179013,8
2023-04-24,169.1,172.38,168.58,171.48,7177576,8
2023-04-25,170.32,170.4,168.43,168.99,5807244,8
2023-04-26,168.21,168.95,165.23,165.98,5927431,8
2023-04-27,166.43,167.3866,165.07,166.95,6417225,8
2023-04-28,164.5,168.94,164.05,168.58,10036290,8
2023-05-01,167.71,168.73,166.36,167.24,6099800,8
2023-05-02,165.32,165.38,158.45,160.04,10701666,8
2023-05-03,158.15,159.57,156.74,156.83,7538057,8
2023-05-04,157.11,158.1999,155.42,156.22,7500368,8
2023-05-05,159.3,161.12,158.78,160.21,5801986,8
2023-05-08,161.57,162.3,159.52,159.58,5028202,8
2023-05-09,158.11,160.415,157.9125,159.12,5019809,8
2023-05-10,160.44,160.44,155.881,157.09,6161227,8
2023-05-11,155.38,156.32,153.89,156.22,6666132,8
2023-05-12,157.0,157.93,155.56,156.62,4898904,8
2023-05-15,157.23,158.1629,156.23,157.2,5096748,8
2023-05-16,156.48,157.02,153.3289,153.51,7009079,8
2023-05-17,154.785,156.42,153.96,155.71,6169555,8
2023-05-18,152.87,154.24,151.53,154.01,7477698,8
2023-05-19,154.89,156.44,153.985,155.23,8100946,8
2023-05-22,153.79,154.83,152.09,152.44,11660950,8
2023-05-23,154.14,157.6795,153.84,156.85,10436207,8
2023-05-24,157.95,158.57,156.29,157.27,7063999,8
2023-05-25,154.68,155.625,153.5,154.56,7037671,8
2023-05-26,155.29,155.63,153.46,154.08,7736203,8
2023-05-30,151.67,153.26,151.21,153.12,7814766,8
