date,open_price,high_price,low_price,close_price,volume,company_id
2023-03-01,142.1,143.4583,141.8,142.55,7139155,4
2023-03-02,142.24,142.43,139.54,141.07,11107549,4
2023-03-03,141.51,143.74,141.08,143.66,9513063,4
2023-03-06,143.44,144.04,142.66,142.82,9261255,4
2023-03-07,142.01,142.31,137.81,138.62,11747620,4
2023-03-08,138.0,138.59,136.885,137.8,10002548,4
2023-03-09,136.76,137.35,129.215,130.34,25888097,4
2023-03-10,128.96,135.26,127.82,133.65,37599655,4
2023-03-13,131.21,133.88,129.41,131.25,42901132,4
2023-03-14,135.28,135.53,131.29,134.62,29648116,4
2023-03-15,130.98,130.99,126.73,128.26,34280607,4
2023-03-16,128.01,131.95,126.02,130.75,24570587,4
2023-03-17,128.38,128.48,125.45,125.81,38395982,4
2023-03-20,126.99,129.47,126.01,127.14,22875505,4
2023-03-21,130.59,131.73,130.19,130.55,17807808,4
2023-03-22,130.56,130.655,127.08,127.18,17250168,4
2023-03-23,127.9,129.53,126.02,126.84,16677640,4
2023-03-24,125.63,125.68,123.11,124.91,22326916,4
2023-03-27,126.79,129.38,126.29,128.49,18853935,4
2023-03-28,128.71,129.3417,127.744,128.88,10820466,4
2023-03-29,130.1,130.22,127.77,129.14,14595260,4
2023-03-30,129.95,130.12,127.65,128.75,12134675,4
2023-03-31,129.66,130.34,128.8514,130.31,13105215,4
2023-04-03,129.91,131.44,129.41,130.16,11775388,4
2023-04-04,130.5,130.59,127.41,128.42,11579916,4
2023-04-05,126.8,128.15,126.46,127.61,9614692,4
2023-04-06,127.0,128.08,126.8553,127.47,8760220,4
2023-04-10,126.54,128.23,126.22,127.89,9477292,4
2023-04-11,128.3,128.94,127.54,128.52,10516267,4
2023-04-12,129.18,130.43,128.0603,128.5,11820995,4
2023-04-13,128.46,129.04,126.83,128.99,12450242,4
2023-04-14,135.15,139.12,134.9001,138.73,43931328,4
2023-04-17,139.95,140.06,137.66,139.83,16050486,4
2023-04-18,140.27,141.78,139.03,141.4,13760139,4
2023-04-19,141.23,141.5,140.4,141.22,9158112,4
2023-04-20,139.91,141.43,139.84,140.81,10586245,4
2023-04-21,139.74,141.11,138.78,140.54,11842537,4
2023-04-24,140.455,141.1,140.04,140.73,7567666,4
2023-04-25,139.6,139.96,137.625,137.67,10629325,4
2023-04-26,137.62,137.8093,134.0,135.23,14416145,4
2023-04-27,136.0,137.91,135.66,137.05,9041092,4
2023-04-28,136.56,138.32,135.67,138.24,9887262,4
2023-05-01,142.26,143.37,140.83,141.2,20415762,4
2023-05-02,141.4,142.41,138.43,138.92,14113447,4
2023-05-03,138.44,138.6687,135.76,135.98,12930906,4
2023-05-04,134.96,135.72,131.81,134.12,17089164,4
2023-05-05,136.44,137.88,135.912,136.74,11261394,4
2023-05-08,137.49,137.97,136.475,137.07,7484872,4
2023-05-09,135.93,136.95,135.21,136.41,7343573,4
2023-05-10,137.95,138.06,134.87,136.48,8133416,4
2023-05-11,135.0,136.81,134.9,136.05,7057277,4
2023-05-12,136.82,136.99,133.13,134.1,9988598,4
2023-05-15,134.27,135.67,133.96,135.23,7639451,4
2023-05-16,135.46,135.9382,133.96,134.32,6483267,4
2023-05-17,135.9,138.5899,135.46,138.45,12711522,4
2023-05-18,138.27,139.73,137.76,139.5,10999607,4
2023-05-19,139.79,140.49,138.125,139.18,13492239,4
2023-05-22,141.0,141.64,137.66,138.03,11402476,4
2023-05-23,137.54,139.03,136.455,136.59,9514897,4
2023-05-24,135.4,136.35,135.08,135.34,8577997,4
2023-05-25,134.82,136.27,134.58,135.67,8472505,4
2023-05-26,136.11,137.6,135.63,136.94,8579941,4
2023-05-30,136.8,137.72,136.02,137.46,7399867,4
2023-05-31,136.73,136.84,134.4044,135.71,14219906,4
2023-06-01,136.52,138.23,135.445,137.58,12248094,4
2023-06-02,139.56,141.48,139.34,140.47,12922471,4
2023-06-05,140.11,140.11,138.13,139.09,8511902,4
2023-06-06,138.68,140.1,138.2066,139.34,9329541,4
2023-06-07,139.55,141.27,138.83,140.69,9281389,4
2023-06-08,140.67,140.89,139.4807,140.73,7370043,4
2023-06-09,140.35,141.8,140.21,141.01,7253946,4
2023-06-12,141.07,141.32,139.76,141.0,7600196,4
2023-06-13,140.48,142.87,140.14,142.02,7701567,4
2023-06-14,143.0,143.61,140.7,141.49,9068729,4
2023-06-15,140.59,143.4,140.03,143.09,9343096,4
2023-06-16,143.05,143.965,142.5,143.26,13813512,4
2023-06-20,142.61,143.0,141.04,142.53,8431008,4
2023-06-21,142.9,144.02,141.691,142.32,9926459,4
2023-06-22,142.31,142.6,138.95,139.58,10076325,4
2023-06-23,138.54,139.18,137.62,138.85,9919539,4
2023-06-26,138.87,140.01,137.69,139.19,8429727,4
2023-06-27,139.0,139.84,138.54,139.2,8154024,4
2023-06-28,139.16,139.21,137.96,138.59,7558644,4
2023-06-29,140.07,143.56,139.85,143.43,15423230,4
2023-06-30,144.6,146.0,143.66,145.44,14212816,4
2023-07-03,146.19,147.48,146.0,146.61,8021622,4
2023-07-05,144.94,145.43,144.36,144.64,8935519,4
2023-07-06,143.02,143.39,141.4401,143.21,9714100,4
2023-07-07,143.91,145.8436,143.0,144.34,8981456,4
2023-07-10,144.5,145.99,144.5,145.15,9100060,4
2023-07-11,146.335,147.82,145.705,147.42,11265592,4
2023-07-12,147.45,149.87,147.0,148.15,11323228,4
2023-07-13,148.7,149.37,147.75,148.87,11234925,4
2023-07-14,151.55,152.89,148.41,149.77,27028429,4
2023-07-17,150.35,153.75,150.35,153.38,17262394,4
2023-07-18,153.38,154.4,152.82,153.66,13491725,4
2023-07-19,152.75,155.205,152.22,154.25,12510000,4
2023-07-20,154.53,156.59,154.41,156.15,9935907,4
2023-07-21,155.8,156.14,154.69,154.95,10636378,4
2023-07-24,154.97,158.785,154.73,158.0,14381425,4
2023-07-25,157.3,157.7198,155.96,156.82,9944679,4
2023-07-26,156.71,158.25,156.275,157.76,8728593,4
2023-07-27,157.77,158.78,155.5538,156.02,10778406,4
2023-07-28,157.28,157.6,156.4401,156.91,9105974,4
2023-07-31,157.18,159.38,157.151,157.96,8894353,4
2023-08-01,157.43,158.0,156.15,157.18,6855682,4
2023-08-02,155.56,155.69,153.94,155.4,8303708,4
2023-08-03,155.0,156.92,154.35,156.35,6087542,4
2023-08-04,156.4,157.8,155.695,156.02,6209397,4
2023-08-07,156.6,157.7,156.6,156.76,7251832,4
2023-08-08,154.32,155.98,152.59,155.88,8623379,4
2023-08-09,155.32,155.52,153.47,153.79,6277813,4
2023-08-10,154.38,155.44,153.09,153.56,5995076,4
2023-08-11,153.03,154.52,152.63,154.45,5180690,4
2023-08-14,153.61,154.9178,152.92,154.77,5044282,4
2023-08-15,152.85,153.2664,150.2301,150.83,10300303,4
2023-08-16,150.6,150.96,149.68,150.19,6978235,4
2023-08-17,150.88,151.2622,148.4,148.63,9953912,4
2023-08-18,147.65,149.5,147.4437,148.97,8517460,4
2023-08-21,149.65,150.105,148.02,149.48,8327018,4
2023-08-22,149.26,149.6394,145.85,146.38,9681972,4
2023-08-23,146.35,147.585,145.46,147.37,7858021,4
2023-08-24,147.5,149.41,146.9875,147.23,6534026,4
2023-08-25,147.28,148.6199,145.85,147.05,6695537,4
2023-08-28,147.57,148.61,147.13,147.56,5094201,4
2023-08-29,147.71,148.85,147.18,148.76,6336962,4
2023-08-30,148.62,149.15,147.19,148.16,6277318,4
2023-08-31,148.26,148.35,145.96,146.33,10933938,4
2023-09-01,146.09,148.08,145.7,146.82,7903496,4
2023-09-05,147.16,148.2099,145.01,145.2,7854739,4
2023-09-06,144.7,145.54,144.11,144.96,8629164,4
2023-09-07,144.13,145.2683,143.39,143.72,8373738,4
2023-09-08,143.37,144.12,142.65,143.83,7110254,4
2023-09-11,144.75,145.05,143.69,144.46,6854220,4
2023-09-12,144.5,147.32,144.05,146.34,8363165,4
2023-09-13,147.34,147.7,145.82,146.41,8325914,4
2023-09-14,147.84,149.895,147.52,149.25,10034931,4
2023-09-15,148.92,149.7256,148.31,148.81,19863383,4
2023-09-18,148.16,149.14,147.75,149.12,6512360,4
2023-09-19,149.5,149.72,147.21,148.93,7945606,4
2023-09-20,149.65,150.25,148.135,148.3,7334257,4
2023-09-21,147.58,148.855,146.63,147.14,8053410,4
2023-09-22,147.29,147.51,145.19,145.73,7071975,4
2023-09-25,145.35,146.52,143.7,146.45,7044672,4
2023-09-26,144.6,145.84,144.23,144.93,7468405,4
2023-09-27,145.19,146.09,144.5115,145.78,6717822,4
2023-09-28,146.28,148.87,146.01,147.59,8868063,4
2023-09-29,148.6,148.76,144.86,145.02,11917826,4
2023-10-02,144.83,145.6223,142.63,143.77,9170644,4
2023-10-03,143.2,143.59,142.355,142.71,9431118,4
2023-10-04,143.19,143.47,141.93,143.35,8128748,4
2023-10-05,142.04,143.1,140.83,142.9,8576237,4
2023-10-06,142.91,145.88,142.14,145.1,10270621,4
2023-10-09,143.66,145.395,143.5005,144.77,6964907,4
2023-10-10,145.42,146.77,145.28,145.65,11288769,4
2023-10-11,146.51,147.23,145.02,146.15,8698175,4
2023-10-12,146.3,146.96,145.13,145.81,10484436,4
2023-10-13,148.5,153.11,147.84,148.0,29487199,4
2023-10-16,149.45,149.52,146.72,147.85,12663461,4
2023-10-17,147.57,149.31,146.79,147.53,11482739,4
2023-10-18,146.59,147.48,145.37,145.91,9620257,4
2023-10-19,145.48,147.02,144.88,145.29,11143631,4
2023-10-20,144.57,145.14,142.12,142.95,13332867,4
2023-10-23,142.94,143.68,140.73,141.0,10133410,4
2023-10-24,141.19,141.73,140.36,141.17,8881354,4
2023-10-25,140.57,141.18,139.51,140.4,8242565,4
2023-10-26,139.76,141.665,139.43,140.76,9109431,4
2023-10-27,138.95,139.1,135.19,135.69,17434717,4
2023-10-30,136.44,138.04,136.04,137.42,9855540,4
2023-10-31,137.71,139.24,137.4728,139.06,9672460,4
2023-11-01,139.25,140.53,138.47,138.94,9432048,4
2023-11-02,140.09,141.48,139.23,141.42,10186175,4
2023-11-03,142.19,143.77,141.85,143.0,9538719,4
2023-11-06,143.17,144.19,142.79,144.08,7625063,4
2023-11-07,143.51,144.2612,142.82,144.01,6297915,4
2023-11-08,144.11,144.84,143.62,144.72,7618169,4
2023-11-09,145.44,145.6499,143.7,144.29,7992477,4
2023-11-10,144.94,146.48,144.0765,146.43,7983935,4
2023-11-13,145.7,146.25,145.16,145.78,6676364,4
2023-11-14,146.68,149.25,146.52,148.44,9927723,4
2023-11-15,148.46,150.16,148.46,149.74,8365296,4
2023-11-16,150.09,151.525,150.09,151.45,8126188,4
2023-11-17,152.2,152.86,151.54,152.82,7814064,4
2023-11-20,152.08,153.75,151.92,153.29,7020349,4
2023-11-21,153.2,153.63,152.57,152.97,7083506,4
2023-11-22,153.41,153.88,152.9,153.33,5175135,4
2023-11-24,153.59,154.438,153.275,153.54,3496941,4
2023-11-27,153.43,153.53,152.71,153.19,6259116,4
2023-11-28,153.22,153.87,152.72,153.54,6582937,4
2023-11-29,154.17,155.625,154.0,154.32,9126053,4
