date,open_price,high_price,low_price,close_price,volume,company_id
2023-03-01,247.328,247.498,242.427,242.9,27947633.957438,2
2023-03-02,243.177,247.961,242.249,247.675,25178129.04412,2
2023-03-03,248.739,252.122,247.951,251.797,31186829.095602,2
2023-03-06,252.917,256.561,252.478,253.355,24444291.802994,2
2023-03-07,252.793,254.164,249.923,250.672,21771046.903443,2
2023-03-08,250.563,251.058,247.378,250.229,17580754.001207,2
2023-03-09,252.32,256.01,248.139,248.868,27023112.810293,2
2023-03-10,247.645,249.332,244.213,245.189,28726967.6739,2
2023-03-13,244.014,254.381,242.367,250.447,33802197.133396,2
2023-03-14,253.237,257.499,252.36,257.221,34086661.123185,2
2023-03-15,256.424,262.834,255.664,261.808,46666530.843471,2
2023-03-16,261.577,272.776,259.678,272.422,55592750.926919,2
2023-03-17,274.453,279.454,272.539,275.605,70491828.672134,2
2023-03-20,273.19,273.683,266.157,268.506,44069602.088935,2
2023-03-21,271.119,271.237,265.832,270.034,35038089.409407,2
2023-03-22,269.661,277.195,268.456,268.565,35357079.78354,2
2023-03-23,274.137,277.213,271.436,273.861,37118731.413046,2
2023-03-24,273.447,276.79,271.515,276.731,28591141.319937,2
2023-03-27,276.662,277.608,271.75,272.598,27212529.37678,2
2023-03-28,272.017,272.363,268.322,271.465,22182139.403805,2
2023-03-29,275.143,277.293,274.6,276.671,25435029.919891,2
2023-03-30,280.342,280.567,277.629,280.163,25400941.528089,2
2023-03-31,279.849,285.312,279.128,284.355,33220493.357461,2
2023-04-03,282.599,284.326,280.064,283.299,25228514.408435,2
2023-04-04,283.299,286.476,281.762,283.251,26182524.011816,2
2023-04-05,281.939,283.221,279.049,280.451,22370844.232411,2
2023-04-06,279.336,288.083,278.171,287.61,30183296.93266,2
2023-04-10,285.252,285.637,280.816,285.431,23423470.087217,2
2023-04-11,281.842,282.066,277.786,278.961,27654959.635224,2
2023-04-12,280.895,283.083,278.102,279.611,27783562.153853,2
2023-04-13,279.71,285.934,279.296,285.874,24558685.924659,2
2023-04-14,283.073,284.533,279.809,282.225,21279053.530572,2
2023-04-17,285.964,287.61,282.245,284.849,24166870.165518,2
2023-04-18,287.58,287.764,283.083,284.424,20441522.568919,2
2023-04-19,282.076,285.095,280.646,284.504,17388173.141376,2
2023-04-20,281.349,285.076,281.179,282.195,23566800.105082,2
2023-04-21,281.109,282.355,279.188,281.852,21977073.728775,2
2023-04-24,278.231,281.049,274.907,277.915,26980152.027894,2
2023-04-25,275.685,277.746,271.601,271.651,46407171.329008,2
2023-04-26,292.641,295.472,288.725,291.329,65495277.678542,2
2023-04-27,291.92,301.023,291.211,300.659,47107150.327191,2
2023-04-28,299.85,304.703,299.16,303.055,36975505.823959,2
2023-05-01,302.77,304.378,300.975,301.38,21589498.994644,2
2023-05-02,303.549,304.95,299.752,301.232,26770703.385825,2
2023-05-03,302.426,304.388,299.93,300.235,22670934.011696,2
2023-05-04,302.048,303.551,299.249,301.232,22832294.722555,2
2023-05-05,301.536,307.701,300.107,306.399,28588190.953506,2
2023-05-08,305.888,305.955,301.903,304.427,21614336.821732,2
2023-05-09,303.786,305.798,302.118,302.8,21636860.99377,2
2023-05-10,304.398,308.717,303.461,308.037,30495275.370629,2
2023-05-11,305.858,306.863,302.068,305.868,32119634.587802,2
2023-05-12,306.301,306.399,302.406,304.743,20049003.182869,2
2023-05-15,304.866,305.666,303.383,305.226,16563161.466558,2
2023-05-16,305.591,309.419,305.591,307.475,27101140.370613,2
2023-05-17,308.69,310.806,307.158,310.381,24598526.562756,2
2023-05-18,310.905,315.363,310.104,314.848,27594030.763341,2
2023-05-19,313.09,315.077,312.724,314.671,27867897.258895,2
2023-05-22,314.928,318.872,314.344,317.479,24396854.152591,2
2023-05-23,316.342,319.0,311.617,311.626,31156269.965991,2
2023-05-24,311.102,312.852,309.007,310.233,23657556.247003,2
2023-05-25,319.514,323.131,316.312,322.163,43806644.035345,2
2023-05-26,320.285,329.557,320.147,329.053,37057748.474937,2
2023-05-30,331.367,331.871,326.71,327.393,29847077.643962,2
2023-05-31,328.46,332.067,323.556,324.604,46486339.325839,2
2023-06-01,322.173,329.686,320.978,328.747,27086035.779492,2
2023-06-02,330.395,333.61,328.717,331.533,26175458.767,2
2023-06-05,331.357,334.659,330.804,332.067,21555494.572429,2
2023-06-06,331.466,331.504,328.342,329.835,20634044.237585,2
2023-06-07,327.827,330.634,318.783,319.653,41191893.274232,2
2023-06-08,320.202,322.876,319.623,321.511,23549127.53315,2
2023-06-09,321.244,326.186,320.671,323.023,22791638.967976,2
2023-06-12,324.793,328.273,321.413,328.025,24590171.262299,2
2023-06-13,330.609,333.096,326.582,330.438,23218892.350566,2
2023-06-14,330.486,335.133,328.974,333.452,26306996.831664,2
2023-06-15,333.591,345.808,333.314,344.088,39352640.650728,2
2023-06-16,347.271,347.42,338.009,338.385,47094784.060626,2
2023-06-20,335.399,338.137,331.988,334.155,26682945.897498,2
2023-06-21,332.493,333.837,328.243,329.716,25410674.109454,2
2023-06-22,330.27,336.2,329.497,335.795,23831437.343588,2
2023-06-23,330.506,334.065,329.607,331.158,23416795.315338,2
2023-06-26,330.774,332.236,324.704,324.813,21771513.333943,2
2023-06-27,328.035,332.276,325.504,330.714,24638080.447885,2
2023-06-28,330.804,334.085,329.963,331.978,20495750.307023,2
2023-06-29,330.852,332.236,328.787,331.188,17195228.574236,2
2023-06-30,333.857,338.78,333.314,336.616,27145627.615481,2
2023-07-03,335.28,336.971,332.692,334.095,12654544.132133,2
2023-07-05,331.228,337.712,330.869,334.253,18384269.065606,2
2023-07-06,333.412,339.037,331.633,337.337,28524295.692311,2
2023-07-07,335.409,337.851,333.116,333.333,21462190.176513,2
2023-07-10,330.744,331.367,323.815,328.005,33173799.349051,2
2023-07-11,327.244,329.023,323.231,328.638,27009520.893975,2
2023-07-12,332.721,337.714,331.802,333.314,30345008.633507,2
2023-07-13,335.647,339.778,335.113,338.71,20806973.36205,2
2023-07-14,343.583,347.381,340.342,341.261,28683323.595856,2
2023-07-17,341.694,342.991,338.256,341.745,20601371.664202,2
2023-07-18,341.844,362.553,338.226,355.346,65629124.803243,2
2023-07-19,357.581,358.282,348.373,350.987,40196189.11411,2
2023-07-20,349.494,353.844,341.389,342.872,34172253.201223,2
2023-07-21,345.125,346.263,335.913,339.808,70214653.100942,2
2023-07-24,341.864,342.922,338.365,341.132,27030754.62703,2
2023-07-25,343.109,347.835,341.093,346.935,42123237.644489,2
2023-07-26,337.504,340.697,329.271,333.876,59064459.62186,2
2023-07-27,336.556,337.397,325.258,326.909,40097411.637255,2
2023-07-28,329.825,336.091,329.331,334.47,28817003.344872,2
2023-07-31,333.037,333.803,329.517,332.048,25742724.210191,2
2023-08-01,331.327,334.639,329.855,332.464,18595579.561188,2
2023-08-02,329.785,329.785,322.593,323.725,28084954.995293,2
2023-08-03,322.243,326.078,322.193,322.896,18574434.854219,2
2023-08-04,328.055,331.278,323.469,324.0,24018311.190357,2
2023-08-07,324.584,327.293,323.745,326.306,17948393.304302,2
2023-08-08,323.191,324.962,319.277,322.292,22587914.911204,2
2023-08-09,322.707,323.341,317.35,318.516,22634141.706106,2
2023-08-10,322.258,324.477,317.479,319.208,20348252.293212,2
2023-08-11,316.568,318.693,315.531,317.31,24639477.550431,2
2023-08-14,317.685,320.324,316.392,320.305,19055769.560437,2
2023-08-15,319.277,321.343,317.204,318.149,17164112.945689,2
2023-08-16,317.774,321.36,316.787,317.378,20895973.244407,2
2023-08-17,317.517,318.834,313.228,313.891,21459586.743894,2
2023-08-18,311.523,315.377,308.612,313.494,24990746.75871,2
2023-08-21,314.931,319.725,314.049,318.844,24268881.48899,2
2023-08-22,322.43,322.999,318.428,319.419,16255358.877898,2
2023-08-23,320.765,326.095,320.409,323.917,21367943.281955,2
2023-08-24,329.711,329.84,316.943,316.953,23503136.305231,2
2023-08-25,318.438,322.291,315.793,319.934,21890595.397551,2
2023-08-28,322.587,323.073,318.686,320.646,14949498.854734,2
2023-08-29,318.844,325.88,318.844,325.312,19468231.525622,2
2023-08-30,325.57,326.698,323.367,325.688,15367065.71353,2
2023-08-31,326.095,327.789,323.697,324.668,26662457.811369,2
2023-09-01,328.185,328.859,323.697,325.56,15084312.536248,2
