Date,Open,High,Low,Close,Volume
2023-03-01,144.733,145.126,142.939,143.235,56282720
2023-03-02,142.32,144.615,141.843,143.825,53037142
2023-03-03,145.932,148.952,145.227,148.875,71757002
2023-03-06,151.59,154.07,151.268,151.635,88826490
2023-03-07,151.505,151.829,148.97,149.436,56995942
2023-03-08,150.628,151.278,149.662,150.687,47888651
2023-03-09,151.367,152.329,148.078,148.439,54613474
2023-03-10,148.064,148.786,145.502,146.379,69565815
2023-03-13,145.694,150.953,145.59,148.32,85680661
2023-03-14,149.118,151.209,147.957,150.411,74763532
2023-03-15,149.03,151.056,147.781,150.806,78285805
2023-03-16,149.986,154.225,149.476,153.624,77359125
2023-03-17,153.852,154.5,152.077,152.786,100378055
2023-03-20,152.856,155.565,151.948,155.152,74708265
2023-03-21,155.074,157.123,154.305,157.005,75009437
2023-03-22,157.024,159.825,155.555,155.575,76798510
2023-03-23,156.563,159.242,155.429,156.659,68601707
2023-03-24,156.592,158.05,155.595,157.962,60114795
2023-03-27,157.657,158.474,155.615,156.02,53149249
2023-03-28,155.714,156.226,153.753,155.399,46658445
2023-03-29,157.094,158.75,157.074,158.474,52048961
2023-03-30,159.223,160.15,158.967,160.041,50218824
2023-03-31,160.12,162.644,159.598,162.546,69745777
2023-04-03,161.923,163.916,161.876,163.797,57801606
2023-04-04,164.217,164.456,162.752,163.265,46948732
2023-04-05,162.386,162.693,159.491,161.42,52257999
2023-04-06,160.11,162.604,159.686,162.309,46047693
2023-04-10,159.116,159.716,157.793,159.716,48408161
2023-04-11,160.032,160.041,158.217,158.504,48334443
2023-04-12,158.917,159.746,157.499,157.813,50859344
2023-04-13,159.321,163.433,159.116,163.195,69437228
2023-04-14,162.241,163.946,161.48,162.851,50101947
2023-04-17,162.732,163.029,161.687,162.87,42117666
2023-04-18,163.728,165.02,163.285,164.093,50646247
2023-04-19,163.433,165.76,163.175,165.235,48411492
2023-04-20,163.718,165.472,163.195,164.27,53216318
2023-04-21,162.693,164.075,162.141,162.663,59182480
2023-04-24,162.644,163.235,161.55,162.97,42557308
2023-04-25,162.831,163.931,161.391,161.43,49419788
2023-04-26,160.727,162.92,160.475,161.42,46157941
2023-04-27,162.831,166.153,162.831,166.005,65842575
2023-04-28,166.085,167.424,165.482,167.256,56076638
2023-05-01,166.863,168.015,166.231,167.169,53233116
2023-05-02,167.661,167.917,165.147,166.133,49127243
2023-05-03,167.08,168.48,164.774,165.058,66079650
2023-05-04,162.536,164.654,161.963,163.423,82412292
2023-05-05,168.534,171.81,168.322,171.091,115096779
2023-05-08,170.018,171.368,169.651,171.022,56773531
2023-05-09,170.578,171.061,169.151,169.319,45983529
2023-05-10,170.549,171.546,169.446,171.076,54502812
2023-05-11,171.368,172.097,169.71,171.269,50231999
2023-05-12,171.378,171.811,168.79,170.342,46128975
2023-05-15,170.922,170.972,169.257,169.847,37754322
2023-05-16,169.768,170.902,169.578,169.847,42661339
2023-05-17,169.492,170.691,168.219,170.459,58709946
2023-05-18,170.765,172.976,170.352,172.79,66353733
2023-05-19,174.111,174.111,172.68,172.898,56539786
2023-05-22,171.731,172.453,171.211,171.95,44141092
2023-05-23,170.894,171.141,169.063,169.346,51411331
2023-05-24,168.88,170.191,168.319,169.619,45734226
2023-05-25,170.182,171.647,169.472,170.755,56791824
2023-05-26,171.081,173.501,170.874,173.162,55552534
2023-05-30,174.673,176.68,174.291,175.01,56696739
2023-05-31,175.035,177.033,174.479,174.96,100928964
2023-06-01,175.405,177.793,174.646,177.764,69803444
2023-06-02,178.693,179.433,176.943,178.613,62808192
2023-06-05,180.272,182.561,175.736,177.26,123542265
2023-06-06,177.64,177.793,175.139,176.894,65696966
2023-06-07,176.134,178.871,175.03,175.523,62755209
2023-06-08,175.597,178.504,175.169,178.236,50871982
2023-06-09,179.154,179.874,178.295,178.623,49539868
2023-06-12,178.93,181.515,178.633,181.416,55471507
2023-06-13,180.439,181.772,180.082,180.942,55647920
2023-06-14,181.002,182.009,179.671,181.573,58214829
2023-06-15,181.583,184.11,181.406,183.607,66289411
2023-06-16,184.318,184.574,181.891,182.531,102581243
2023-06-20,182.029,183.695,182.029,182.62,50450752
2023-06-21,182.511,183.015,180.232,181.583,50163649
2023-06-22,181.366,184.629,181.298,184.584,51915913
2023-06-23,183.154,185.137,182.62,184.269,53812074
2023-06-26,184.903,185.621,182.839,182.878,48717938
2023-06-27,183.488,185.957,183.272,185.631,51394699
2023-06-28,185.502,187.448,185.177,186.805,51887013
2023-06-29,186.64,187.614,186.5,187.14,46953798
2023-06-30,189.154,191.968,188.79,191.463,86328299
2023-07-03,191.277,191.375,189.282,189.973,31869853
2023-07-05,189.092,190.487,188.159,188.859,47534249
2023-07-06,187.39,189.54,186.756,189.332,45746911
2023-07-07,188.937,190.181,187.781,188.217,47427608
2023-07-10,186.815,187.538,184.619,186.173,60706292
2023-07-11,186.716,186.855,184.19,185.651,47248415
2023-07-12,187.23,189.223,186.034,187.32,61545213
2023-07-13,188.04,188.72,187.33,188.08,41883335
2023-07-14,187.771,188.71,187.18,188.227,42160823
2023-07-17,189.421,191.812,189.332,191.483,51181254
2023-07-18,190.852,191.822,189.929,191.227,48986521
2023-07-19,190.606,195.672,190.161,192.581,81560825
2023-07-20,192.571,193.932,190.008,190.635,60360863
2023-07-21,191.592,192.451,188.76,189.461,72893229
2023-07-24,190.912,192.392,189.766,190.261,46100567
2023-07-25,190.832,191.93,190.424,191.121,37771081
2023-07-26,191.171,193.112,190.822,191.988,48093074
2023-07-27,193.488,194.653,190.063,190.723,48081234
2023-07-28,192.155,194.087,191.632,193.301,48923374
2023-07-31,193.527,193.952,192.738,193.913,39332157
2023-08-01,193.7,194.191,192.758,193.077,35743110
2023-08-02,192.521,192.661,189.373,190.093,51048711
2023-08-03,189.097,189.884,188.227,188.7,63057784
2023-08-04,183.124,184.961,179.572,179.641,117474229
2023-08-07,179.779,180.763,175.06,176.541,98852930
2023-08-08,177.37,177.942,175.286,177.478,68710520
2023-08-09,178.534,178.593,174.722,175.889,61168592
2023-08-10,177.162,178.415,175.305,175.672,55402471
2023-08-11,175.265,176.552,174.505,175.731,52646521
2023-08-14,175.908,177.609,175.25,177.382,44187488
2023-08-15,176.807,177.402,174.999,175.395,44133832
2023-08-16,175.079,176.472,174.457,174.525,47515266
2023-08-17,175.089,175.449,171.471,171.985,66837112
2023-08-18,170.305,173.071,169.968,172.469,61889063
2023-08-21,173.041,174.089,171.721,173.802,46854635
2023-08-22,175.009,175.622,174.209,175.178,42577455
2023-08-23,176.452,179.447,176.259,179.02,53340641
2023-08-24,178.581,179.005,173.97,174.338,55589740
2023-08-25,175.325,177.074,173.782,176.542,52052563
2023-08-28,178.004,178.498,176.477,178.102,44334257
2023-08-29,177.614,182.759,177.421,181.988,53625133
2023-08-30,182.799,185.675,182.599,185.475,61526603
2023-08-31,185.665,186.929,185.307,185.695,61506954
2023-09-01,187.291,187.719,186.097,187.266,46302868
2023-09-05,186.097,187.778,185.436,187.504,45810691
2023-09-06,186.216,186.664,179.368,180.79,82713962
2023-09-07,173.15,176.145,171.53,175.503,113807128
2023-09-08,176.284,178.15,175.731,176.116,66370896
2023-09-11,177.984,178.211,175.285,177.282,59643959
2023-09-12,177.412,178.044,172.795,174.259,91429295
2023-09-13,174.467,175.245,171.965,172.193,85255514
2023-09-14,171.985,174.059,171.569,173.704,61609431
2023-09-15,174.437,174.452,171.806,172.982,110539940
2023-09-18,174.437,177.302,174.129,175.908,68045805
2023-09-19,175.463,177.549,175.079,176.995,52434333
2023-09-20,177.184,177.614,173.369,173.458,59121030
2023-09-21,172.528,174.259,171.846,171.916,63889199
2023-09-22,172.646,175.028,172.034,172.766,57390184
2023-09-25,172.183,174.92,172.133,174.039,46713866
2023-09-26,172.795,173.169,169.671,169.968,65345901
2023-09-27,170.62,171.036,167.092,168.456,67706104
2023-09-28,167.378,170.038,165.679,168.711,56954167
2023-09-29,170.028,171.065,168.369,169.228,52468874
2023-10-02,169.238,172.281,168.949,171.736,52775882
2023-10-03,170.26,171.617,168.841,170.403,50175841
2023-10-04,169.109,172.193,168.989,171.647,53641662
2023-10-05,171.776,173.418,170.679,172.884,49096645
2023-10-06,171.786,175.928,171.175,175.434,57937818
2023-10-09,174.76,176.975,173.762,176.915,42887575
2023-10-10,176.036,177.638,175.889,176.324,44210142
2023-10-11,176.135,177.767,175.542,177.717,48108378
2023-10-12,177.984,180.228,176.965,178.617,57408125
2023-10-13,179.318,179.822,176.076,176.777,52059126
2023-10-16,174.701,177,174.467,176.652,53132462
2023-10-17,174.599,176.353,172.776,175.099,58223805
2023-10-18,173.548,175.518,173.081,173.802,55406192
2023-10-19,174,175.781,173.159,173.428,59997868
2023-10-20,173.279,173.389,170.64,170.877,64996942
2023-10-23,168.929,171.995,167.961,170.996,56636174
2023-10-24,171.046,171.656,169.464,171.432,44330156
2023-10-25,169.889,171.055,168.671,169.119,57826819
2023-10-26,168.398,169.392,163.751,164.958,71452958
2023-10-27,164.977,167.003,164.898,166.271,59184716
2023-10-30,167.063,169.188,166.914,168.319,51730189
2023-10-31,167.388,168.919,165.955,168.791,45371594
2023-11-01,169.019,172.211,168.149,171.955,57602160
2023-11-02,173.488,175.721,173.428,175.513,78241084
2023-11-03,172.221,174.77,171.342,174.604,80764813
2023-11-06,174.338,177.352,174.169,177.154,64589505
2023-11-07,177.104,180.328,176.896,179.716,71356550
2023-11-08,180.238,181.325,179.487,180.77,49918530
2023-11-09,180.84,181.988,179.706,180.298,54393626
2023-11-10,182.08,184.647,181.642,184.482,66865410
2023-11-13,183.911,184.117,182.316,182.9,44080741
2023-11-14,185.771,186.175,184.383,185.512,60732811
2023-11-15,185.914,187.552,185.85,186.076,54349299
2023-11-16,187.62,188.997,186.71,187.759,54978182
2023-11-17,188.295,188.422,186.633,187.739,51470607
2023-11-20,187.937,189.931,187.927,189.482,47022079
2023-11-21,189.442,189.551,187.788,188.679,38530643
2023-11-22,189.521,190.947,188.863,189.343,40041705
2023-11-24,188.908,188.937,187.305,188.017,24298169
2023-11-27,187.967,188.709,186.957,187.838,40973887
2023-11-28,187.828,189.116,187.454,188.442,38814495
2023-11-29,188.937,190.116,187.026,187.424,43461076
2023-11-30,187.888,188.364,186.254,187.997,49301265
2023-12-01,188.374,189.591,187.285,189.273,46179625
2023-12-04,188.027,188.096,185.523,187.484,43840269
2023-12-05,188.255,192.401,188.225,191.431,67320564
2023-12-06,192.45,192.758,190.135,190.343,41516595
2023-12-07,191.639,192.995,191.599,192.271,47970875
2023-12-08,192.203,193.974,191.679,193.698,53961168
2023-12-11,191.126,191.5,189.452,191.194,61576810
2023-12-12,191.096,192.719,189.749,192.709,53244339
2023-12-13,193.083,195.965,192.847,195.925,71135574
2023-12-14,195.985,197.567,194.144,196.074,67525849
2023-12-15,195.499,196.36,194.976,195.539,129873720
2023-12-18,194.074,194.608,192.391,193.877,56331037
2023-12-19,194.144,194.926,193.877,194.916,41137007
2023-12-20,194.876,195.649,192.827,192.827,52785537
2023-12-21,194.084,195.053,191.51,192.68,46965431
2023-12-22,193.173,193.401,190.986,191.609,37535496
2023-12-26,191.619,191.897,190.847,191.066,29219737
2023-12-27,190.511,191.51,189.124,191.166,48587237
2023-12-28,192.144,192.66,191.185,191.589,34403624
2023-12-29,191.907,192.401,189.753,190.551,43115446
2024-01-02,185.224,186.503,181.995,183.731,83345606
2024-01-03,182.326,183.969,181.544,182.356,59021296
2024-01-04,180.278,181.205,179.018,180.039,72731369
2024-01-05,180.118,180.88,178.316,179.317,63027690
2024-01-08,180.213,183.691,179.635,183.652,59758890
2024-01-09,182.03,183.248,180.851,183.238,43286869
2024-01-10,182.455,184.482,182.03,184.276,47279013
2024-01-11,184.622,185.126,181.732,183.681,49638777
2024-01-12,184.147,184.821,183.285,184.008,40898283
2024-01-16,180.288,182.366,179.071,181.742,66284556
2024-01-17,179.407,181.05,178.446,180.801,47808989
2024-01-18,184.177,187.195,183.921,186.69,78816115
2024-01-19,187.385,189.976,186.879,189.591,69618781
2024-01-22,190.323,193.322,190.284,191.897,60758551
2024-01-23,193.014,193.738,191.837,193.173,42795599
2024-01-24,193.411,194.36,192.341,192.5,54188462
2024-01-25,193.213,194.248,191.128,192.173,55391643
2024-01-26,192.271,192.758,189.966,190.442,45057274
2024-01-29,190.036,190.224,187.63,189.758,47635392
2024-01-30,188.977,189.828,185.542,186.105,56439662
2024-01-31,185.118,185.171,182.455,182.503,56044027
2024-02-01,182.094,185.028,181.93,184.94,65559469
2024-02-02,178.011,185.404,177.408,183.941,103617035
2024-02-05,186.214,187.305,183.931,185.752,70392573
2024-02-06,184.94,187.365,184.85,187.355,43942561
