Date,Open,High,Low,Close,Volume
2023-03-01,103.73,107.68,103.23,106.25,6064687
2023-03-02,106.07,108.96,105.78,108.33,5459001
2023-03-03,106.27,109.0796,105.815,108.64,7075136
2023-03-06,107.58,109.6,107.1,109.56,6201092
2023-03-07,108.59,108.92,106.67,107.65,4973233
2023-03-08,107,108.53,105.76,107.23,4576832
2023-03-09,107.92,109.2534,105.36,105.81,5191573
2023-03-10,105.73,107.3299,103.6,104.22,5313088
2023-03-13,102,103.58,99.57,100.68,8789731
2023-03-14,101.05,104.4199,99.62,101.36,7090814
2023-03-15,97.42,98.71,93.59,95.24,10661237
2023-03-16,92.01,96.5,91.5338,96.4,10112607
2023-03-17,96.35,96.95,93.5,94.39,17056186
2023-03-20,94.84,96.89,94.71,96.16,7932903
2023-03-21,98.09,100.09,98,99.71,6770198
2023-03-22,100,101.09,98.29,98.37,5635491
2023-03-23,98.51,99.76,95.5,96.42,5866448
2023-03-24,94.56,95.9,93.26,95.43,8386765
2023-03-27,96.31,98.5,95.595,97.48,6049698
2023-03-28,96.61,98.69,96.43,97.93,3791999
2023-03-29,99.64,100.3,98.67,99.75,7596324
2023-03-30,100.61,100.86,98.87,99.25,5461125
2023-03-31,99.81,99.9,98.94,99.21,7708836
2023-04-03,105.13,109.1399,105.01,108.42,12394311
2023-04-04,108.33,108.77,105.11,106.3,5425514
2023-04-05,106.91,107.88,105.9226,107.75,5806765
2023-04-06,106.9,107.74,105.894,106.26,5087830
2023-04-10,107.04,108.0145,105.61,105.95,4374681
2023-04-11,106.1,107.2,105.49,106.75,4812163
2023-04-12,108.48,109.09,107.405,107.53,8108154
2023-04-13,107.94,109.9,107.12,109.04,7160126
2023-04-14,109.48,110.02,108.12,108.5,5052162
2023-04-17,106.8,107.69,105.52,105.61,6278847
2023-04-18,104.99,105.7,104.095,104.95,7745310
2023-04-19,103.85,105.81,103.5041,105.26,4717450
2023-04-20,103.45,103.9,102.12,103.78,5351734
2023-04-21,104.1,104.2,101.63,102.26,5279044
2023-04-24,101.95,103.9495,101.77,103.65,5215951
2023-04-25,101.6,102.41,100.48,102.09,5355812
2023-04-26,101.33,102.13,99.65,100.47,4295136
2023-04-27,100.45,101.925,99.81,101.23,4196680
2023-04-28,100.57,103.73,100.32,102.89,6638223
2023-05-01,101.58,103.01,101.13,102.53,3644944
2023-05-02,100.88,101.39,97.48,98.64,8100082
2023-05-03,96.83,97.58,95.7,96.09,9085109
2023-05-04,96.2,98.52,95.81,97.36,6840031
2023-05-05,101.12,101.6,98.94,100.37,5566846
2023-05-08,102.09,102.75,100.6001,100.9,5058854
2023-05-09,100.01,102.62,99.95,101.53,4896149
2023-05-10,101.99,102.26,99.5549,100.47,5285881
2023-05-11,98.88,100.12,98.55,99.89,5671717
2023-05-12,100.64,100.95,98.705,99.43,5004431
2023-05-15,99.33,100.45,98.46,100.29,5838070
2023-05-16,99.87,100.56,97.42,98.07,4822389
2023-05-17,99.54,101.46,98.56,100.71,5013660
2023-05-18,100.2,100.85,99.25,100.74,5503403
2023-05-19,102.33,103.59,101.83,102.6,6068181
2023-05-22,102.73,104.92,102.42,103.73,5561913
2023-05-23,104.46,105.57,103.99,104.39,5415899
2023-05-24,105.49,105.68,103.47,103.98,5141870
2023-05-25,101.94,102.4,100.5,101.69,4952048
2023-05-26,102.67,102.85,100.88,101.85,5709469
2023-05-30,100.7,101.59,100.03,101.2,6721927
2023-05-31,99.43,100.985,99.23,99.3,22757261
2023-06-01,99.57,100.98,98.38,99.53,5857807
2023-06-02,101.36,102.9307,100.48,102.35,4958494
2023-06-05,104.25,104.25,100.97,102.07,5154045
2023-06-06,101.05,102.74,100.35,101.94,3622436
2023-06-07,102.32,105.48,102.32,104.81,4827718
2023-06-08,104.85,105.57,102.59,104.54,5232512
2023-06-09,104.84,105.4528,103.6338,103.89,4086562
2023-06-12,102.21,104.15,101.43,102.82,6049836
2023-06-13,103.85,105.47,103.22,103.41,4904282
2023-06-14,104.43,104.9507,102.04,102.67,4915283
2023-06-15,102.89,105.31,102.83,104.15,4614623
2023-06-16,104.86,105.48,104.22,104.92,9928380
2023-06-20,104.13,104.75,101.02,102.03,8590745
2023-06-21,101.8,104.43,101.8,103.7,6477538
2023-06-22,102.64,102.88,101.1,101.43,4967926
2023-06-23,100.03,100.92,99.63,100.46,7148968
2023-06-26,100.16,101.87,100,101.31,4361047
2023-06-27,101.01,101.62,100.33,100.79,3816967
2023-06-28,100.82,102.72,99.96,102.51,5462975
2023-06-29,102.51,103.31,101.81,103.06,4260450
2023-06-30,103.75,104.395,102.54,103.61,6999955
2023-07-03,103.95,104.99,103.63,104.23,2233953
2023-07-05,105,105,103.14,104.02,4155100
2023-07-06,102.8,103.63,99.345,100.34,6005673
2023-07-07,100.55,104.61,100.12,103.23,7393100
2023-07-10,102.85,104.46,102.75,104.35,6405872
2023-07-11,105,107.61,104.85,107.44,5648842
2023-07-12,108.64,109.57,108.45,109.31,6229243
2023-07-13,109.89,111.76,109.58,110.55,6054896
2023-07-14,110.07,110.23,106.45,107.09,4738178
2023-07-17,106.69,107.66,106.14,106.44,4082279
2023-07-18,106.45,109.5,106.4,108.75,4396928
2023-07-19,108.77,110.69,108.77,109.48,5408236
2023-07-20,110.5,111.78,110.2,111.69,6702271
2023-07-21,112.17,113.2,111.85,112.89,4957130
2023-07-24,113.4,115.7,113.4,114.72,3999564
2023-07-25,114.37,116.52,113.9,116.18,3664667
2023-07-26,115.32,117.14,115.155,116.83,4006263
2023-07-27,117.34,117.89,115.33,115.78,4568487
2023-07-28,115.74,116.3,114.67,115.93,3142166
2023-07-31,117.22,118.25,116.76,117.72,4126075
2023-08-01,117.26,117.83,116.19,117.38,3309684
2023-08-02,116.69,117.54,114.91,115.59,4577833
2023-08-03,114.91,117.29,113.0101,114.99,7289530
2023-08-04,115.87,116.685,113.58,113.71,6928850
2023-08-07,114.49,114.6,113.25,114.48,3635136
2023-08-08,112.65,115.79,111.3001,115.59,4281335
2023-08-09,116.73,118.84,116.3,116.44,4818826
2023-08-10,116.29,117.59,115.16,115.83,3589283
2023-08-11,115.98,118.05,115.47,117.81,3771611
2023-08-14,117.17,117.78,116.3,117.69,4252439
2023-08-15,116.5,116.85,114.9708,115.51,4214904
2023-08-16,115.75,116.91,114.56,114.64,3767199
2023-08-17,116.5,117.8781,116.22,116.73,4044801
2023-08-18,115.84,118.03,115.65,117.29,4267613
2023-08-21,118.14,119.11,116.535,117.21,3271628
2023-08-22,117.59,117.74,116.08,116.15,3195938
2023-08-23,115.01,116.34,113.86,115.81,3136727
2023-08-24,115.19,116.3837,114.74,114.8,3538524
2023-08-25,115.69,117.13,114.76,116.52,3710368
2023-08-28,116.48,118.4,116.42,117.52,2821634
2023-08-29,117.86,118.1,116.58,117.66,3213683
2023-08-30,118.27,118.94,118.01,118.7,2847501
2023-08-31,119.17,119.56,118.1,119.03,4395692
2023-09-01,120,122.5,119.97,122.14,6398268
2023-09-05,122.77,124.99,122.56,122.83,5785711
2023-09-06,122.47,123.44,121.92,123.07,4664053
2023-09-07,122.99,123.68,121.61,121.71,3504089
2023-09-08,122.76,124.01,122.45,122.72,4368399
2023-09-11,123.44,123.9,119.82,120.44,4294523
2023-09-12,121.25,123.44,121.2,123.08,4486691
2023-09-13,123.48,123.7,121.47,122.31,3879694
2023-09-14,123.5,124.89,123.44,124.5,4686211
2023-09-15,124.05,125.99,123.19,123.57,12440960
2023-09-18,125.18,125.73,124.07,124.48,4945258
2023-09-19,125.84,126.03,122.18,123.16,4193297
2023-09-20,122.63,123.81,121.055,121.17,3444949
2023-09-21,122.03,122.16,118.75,119.07,4470852
2023-09-22,119.92,121.18,119.04,119.16,3641227
2023-09-25,119.29,121.265,118.89,121.07,3291260
2023-09-26,119.8,121.44,119.34,120.14,5204548
2023-09-27,121.715,123.92,120.8,123.09,5364088
2023-09-28,122.86,124.305,122.18,122.72,3964642
2023-09-29,122.48,122.61,119.64,119.8,5308920
