listing_id,source,address,suburb,state,postcode,council_area,region,distance_to_cbd_km,lat,lon,property_type,bedrooms,bathrooms,car_spaces,toilets,land_size,building_area,year_built,has_pool,has_garage,sale_price,price_raw_aud,sale_date,sale_method,days_on_market,inspection_note,agent_name,agency_name,agent_phone,rba_cash_rate_pct,market_sentiment,market_context,suburb_median_price,auction_clearance_rate_pct,weekly_rent_aud,property_count_suburb
AU-009432,Agent Website,13 Brown Street,Ringwood,vic.,3134,,Eastern Metropolitan,,-37.984692,144.852765,unit duplex,1,1,1,2.0,815 square metres,,,Y,,"$468,000",468000,05-08-2023,private sale,32,By appointment,PRD,PRD,03 4035 6007,4.1,Resilient,,808000.0,65.0,260.0,8351.0
AU-001129,REA,26 Railway Parade,sunshine,victoria,3020,Brimbank,Western Metropolitan,12.5,-38.390043,144.58621,Hse,none,2,2,2.0,684,79sqm,,N,yes,Contact Agent,842000,2021-04-11,private sale,17,,Noel Jones,Noel Jones,03 4801 1755,0.1,FOMO,Melbourne median hits $900k+; regional prices up 15%+; investor surge,,77.0,480.0,216.0
AU-004837,realestate.com.au,106 Oak Court,Toorak,vic,3142,Stonnington,Inner East,6.0,-38.117224,145.215058,UNIT ,4,1,2,2.0,172,,,false,1,Contact Agent,1725000,Mar-22,Auction,35,,JELLIS CRAIG,Jellis Craig,03 4550 9040,0.1,Cautious,Ukraine war drives global inflation; RBA under pressure; Sydney falls 0.2%,3750000.0,,,615.0
AU-010521,REA,149 Church Street,St Kilda,Vic,,Port Phillip,Inner South,5.5,-37.791482,,Unit/Duplex,1.0,2,1,2.0,0.0228 ha,87.0,,,yes,"$481,000",481000,Nov-23,Private Treaty,49,Inspect Sat/Sun,Biggin & Scott,Biggin & Scott,,4.35,Cautious,RBA final hike to 4.35%; clearance dips on rate shock; sentiment softens,950000.0,,,12155.0
AU-010365,Domain,184 King St,Fitzroy,VIC,3065,Yarra,Inner Melbourne,2.5,-38.300247,144.565401,Residential House,1,2,1,2.0,1356,184.0,1926.0,,true,990000,990000,29/11/23,Auction,38,,Kay & Burton,Kay & Burton,03 4328 3573,4.35,Cautious,RBA final hike to 4.35%; clearance dips on rate shock; sentiment softens,1162000.0,,930.0,2689.0
AU-004307,Agent Website,148 Queen Rd,penrith,New South Wales,2750,PENRITH,Western Sydney,52.0,-33.75871,150.581401,TOWNHOUSE,6,1,3 car,,1606.0,87.0,2004.0,False,1,"$601,000",601000,01 January 2022,PI,33,,LJ Hooker,LJ Hooker,02 4673 2913,0.1,Ebullient,Market still hot; RBA signals no early hikes; prices at or near peak,808000.0,72.0,,12417.0
AU-005025,Domain,115 Main Avenue,RINGWOOD,vic.,3134,Maroondah,Eastern Metropolitan,24.0,-37.727265,,house,1 bed,1,2,1.0,743.0 sqm,86.0,1977.0,No,Y,"$966,000",966000,2022-04-09,private sale,25,,,LJ Hooker,03 8694 5981,0.1,Cautious,Sydney -0.4% in April; Melbourne softening; first rate hike imminent,892000.0,62.0,700.0,1359.0
AU-005608,domain.com.au,164 Jones Parade,Box Hill,,3128,Whitehorse,Eastern Metropolitan,14.0,,145.244357,TownHouse,2,2,2,3.0,,151.0,1996.0,,Y,"$854,000.00",854000,2022-06-26,A,44,,Ray White,Ray White,03 7139 4003,0.85,Falling,,1101000.0,50.0,460.0,4267.0
AU-006396,domain.com.au,186 Jones Ct,Sunshine,VIC,2440,Brimbank,,12.5,,145.44257,House,1,1,3,1.0,0.187ha,92.0,1982.0,no,Y,"$662,000", ,30 Sep 2022,Private Treaty,,Inspect Sat/Sun,Kay & Burton,Kay & Burton,03 3247 9104,2.35,Distressed,RBA hikes 50bp to 2.35%; affordability at historic lows; sentiment very negative,608000.0,43.0,510.0,
AU-010490,Agent Website,47 Church Dr,Epping,Victoria,3076,Whittlesea,Northern Metropolitan,22.0 km,,,House/Cottage,1,2,1,,141,,,no,1,"$375,000",375000,2023/11/08,private sale,24,,Raine & Horne,Raine & Horne,03 8961 7339,4.35,Cautious,RBA final hike to 4.35%; clearance dips on rate shock; sentiment softens,612000.0,62.0,240.0,
AU-000796,Domain ,133 Victoria Place,Northcote,Victoria,,Darebin,Northern Metropolitan,,,144.712997,unit duplex,?,2 bath,2,2.0,194 square metres,129.0,1934.0,no,Yes,Contact Agent,621000,,Private Treaty,20,Open Saturday,PRD,PRD,03 1634 6443,0.1,FOMO,,934000.0,76.0,,8217.0
AU-005316,realestate.com.au,139 Brown Dr,bendigo,victoria,3550,Greater Bendigo,Regional VIC,150.0,-37.600826,,House/Cottage,6,3,,,789,154.0,,,Yes,"$530,000",530000,02/05/2022,private sale,32,Inspect Sat/Sun,Ray White,Ray White,03 9353 2984,0.35,Turning,RBA hikes 25bp to 0.35% — first hike in 11 years; clearance rates fall sharply,427000.0,,,9975.0
AU-000175, REA,107 Church Drive,,Victoria,4887,Brimbank,Western Metropolitan,12.5,-37.703618,145.460915,Hse,unknown,1,2,1.0,0.1662 ha,471sqm,1942.0,false,,"$559,000",559000,2021/01/26,auction,24,Open Saturday,Hocking Stuart,Hocking Stuart,03 1569 9131,0.1,Confident,Pandemic boom begins; ultra-low rates; FOMO sets in; supply tight,605000.0,72.0,,534.0
AU-000768,realestate.com.au,191 Jones Rd,South Yarra,Victoria,3141,,Inner South,3.5,-38.349065,145.416887,HOUSE,4,3,3,,1991,266.0,,0,True,"$9,064.69015943331",9064.69015943331,2021-03-24,S,10,,Raine & Horne,Raine & Horne,,0.1,FOMO,Strongest monthly growth in 32 years; buyers waiving conditions,1502000.0,76.0,,14430.0
AU-008272,REA,141 Brown Street,Fitzroy,VIC,3065,Yarra,Inner Melbourne,2.5,-38.32963,145.281311,house,4,1,1,1.0,331,394.0,,No,,1132000,1132000,21 Apr 2023,AUC,,Open Saturday,Jellis Craig,Jellis Craig,03 1877 7916,3.85,Recovering,Perth +3% in April; Brisbane strong; Melbourne lagging other capitals,1111000.0,65.0,,2122.0
AU-004235,Domain ,,FITZROY,vic,3065,Yarra,Inner Melbourne,2.5,,145.48673,Unit,None,1,2,1.0,1825,284.0,1943.0,,True,"$882,000",882000,2022/01/29,PS,24,,Barry Plant,Barry Plant,03 5082 6580,0.1,Ebullient,Market still hot; RBA signals no early hikes; prices at or near peak,1307000.0,72.0,800.0,10246.0
AU-001496,Domain,87 Oak Street,Hawthorn,vic,3122,Boroondara,Inner East,6.5,-37.762759,145.089329,semi,4,1,1,1.0,0.0668 ha,95.0,1912.0,false,Y,"Offers Over $2,350,000",2362000,23/05/21,Private Sale,unknown,,,Nelson Alexander,,0.1,FOMO,Prices +8% YTD; APRA warns on lending; short lockdowns in VIC/QLD,1789000.0,76.0,2120.0,7319.0
AU-002559,REA,78 High Road,BOX HILL,Vic,03128,Whitehorse,Eastern Metropolitan,14.0,-37.842522,,HOUSE,04,2,1,2.0,1921.0,237.0,,,Yes,"$1,014,000",1014000,11/08/2021,private sale,15,By private appointment - lockdown restrictions apply,Biggin & Scott,Biggin & Scott,03 5078 6758,0.1,Anxious,Sydney 100-day lockdown peak; Melbourne lockdown #6; nationwide uncertainty,1143000.0,,660.0,2042.0
AU-007043,domain.com.au,106 Park Dr,Brunswick ,,3056,Moreland,Northern Metropolitan,5.5,-38.486652,,Unit,?,2,1,3.0,853.0,387.0,2016.0,N,true,"$426,000",426000,"Nov 16, 2022",S,,Open Saturday,Fletchers,Fletchers,03 1235 5752,2.85,Weak,National prices -6% from peak; Melbourne -7%; clearance slowly recovering,868000.0,,,9480.0
AU-007994,Domain ,106 Main Parade,Paddington,QLD.,4064,,Brisbane Inner,3.5,-33.843785,150.571245,Residential House,3,1,1,1.0,1431,365.0,,N,Yes,$971k,971000,29 March 2023,,unknown,,PRD,PRD,,3.6,Recovering,Prices tick up nationally; migration at record highs; rental crisis deepens,,,,4566.0
AU-000717,Agent Website,37 Oak Avenue,Brighton,Victoria,3186,Bayside,Southern Metropolitan,,-37.733624,145.293993,townhouse,2,,3,2.0,697.0,,2007.0,No,Yes,"$1,280,000",,02 Mar 2021,Auction,31,,Noel Jones,Noel Jones,03 8699 1403,0.1,FOMO,Strongest monthly growth in 32 years; buyers waiving conditions,2253000.0,76.0,1150.0,2704.0
AU-001121,Agent Website,76 Smith St,Manly,nsw,2095,Northern Beaches,Inner Sydney,17.0,-33.847392,150.907636,VILLA,6,1,,2.0,518.0,,,0,1,"$2,374,000",TBC,23-04-2021,Auction,,,Marshall White,Marshall White,,0.1,FOMO,Melbourne median hits $900k+; regional prices up 15%+; investor surge,3074000.0,84.7,2130.0,4030.0
AU-002572,Domain,,Prahran,Victoria,3181,STONNINGTON,Inner South,4.5,-37.596347,144.703004,Townhouse,1.0,2 bath,2,3.0,251.0,488.0,1929.0,0,1,"$643,000",643000,,AUC,None,By private appointment - lockdown restrictions apply,Raine & Horne,Raine & Horne,03 6476 6115,0.1,Anxious,Sydney 100-day lockdown peak; Melbourne lockdown #6; nationwide uncertainty,1213000.0,,620.0,4695.0
AU-000430,realestate.com.au,129 Smith Dr,penrith,nsw,2750,Penrith,Western Sydney,52.0,-33.776681,,h,1,1,3 car,1.0,1679,69.0,1901.0,,,"$661,000",661000,"Feb 21, 2021",PS,18,,RT Edgar,RT Edgar,02 1611 5559,0.1,Strong,Prices accelerating; HomeBuilder deadline rush; CoreLogic records +2.1% monthly,713000.0,,630.0,14770.0
AU-005016,REA,49 Jones Dr,Manly,New South Wales,2095,,Inner Sydney,17.0,-33.61864,150.640112,vacant land,00,0,2,,6870.0 sqm,,,no,Yes,"$820,000",820000,2022-04-21,Private Sale,-,,Century 21,Century 21,02 1780 2319,0.1,Cautious,Sydney -0.4% in April; Melbourne softening; first rate hike imminent,3242000.0,69.0,,4895.0
AU-004318,domain.com.au,52 High Avenue,,Victoria,3128,Whitehorse,Eastern Metropolitan,14.0,,144.603652,villa,four,,2,3.0,956m2,489.0,,false,yes,"$916,000",None,"Jan 08, 2022",private sale,32,Open Saturday,First National,First National,03 9671 7114,0.1,Ebullient,,1176000.0,72.0,,7429.0
AU-003204,Agent Website,170 Railway Parade,Frankston,victoria,3199,Frankston,Southern Metropolitan,40.0,-38.066428,145.457005,Residential House,2,1,2 car,1.0,699,,1917.0,false,Yes,"$673,000",673000,,A,31,High demand – multiple offers,,hocking stuart,03 4665 3804,0.1,Strong,,646000.0,,550.0,7183.0
AU-002547, REA,198 King Drive,South Yarra,vic.,3141,Stonnington,Inner South,3.5,-38.074412,144.724149,Townhouse,3,3,1 car,3.0,870,178.0,,no,Yes,"$944,000",944000,12-08-2021,auction,45,By private appointment - lockdown restrictions apply,Hocking Stuart,Hocking Stuart,03 8497 3159,0.1,Anxious,Sydney 100-day lockdown peak; Melbourne lockdown #6; nationwide uncertainty,1617000.0,,,
AU-000950,REA,80 Smith Pde,Epping,V.I.C,3076,Whittlesea,Northern Metropolitan,22.0,,144.707565,townhouse,3,1,?,,1892.0,238.0,1919.0,,,"$8,738,870",8738870.3460263,12 March 2021,Private Sale,27,,,Buxton,03 1822 4465,0.1,FOMO,Strongest monthly growth in 32 years; buyers waiving conditions,622000.0,76.0,,909.0
AU-010639,Domain,75 Brown Parade,Glen Waverley,vic,3150,MONASH,Eastern Metropolitan,22.0,-38.054131,,duplex,N/A,3 bath,2,3.0,0.021ha,158.0,2000.0,False,Yes,1007000,unknown,09 December 2023,A,44,Inspect Sat/Sun,Raine & Horne,Raine & Horne,,4.35,Cautious,Year closes +8.1% nationally; below 2021 but well above 2022 trough,1016000.0,66.0,960.0,3858.0
AU-009358, REA,23 Smith Ave,Doncaster,VIC,3108,Manningham,Eastern Metropolitan,,-38.371149,144.794154,House/Cottage,2,2 bath,1,3.0,1496,,,False,1,"$1,458,000",1458000,06-07-2023,AUC,37,,Marshall White,Marshall White,03 9246 6489,4.1,Resilient,CoreLogic: +5% nationally in 2023 so far; Perth +12%; Brisbane +9%,1094000.0,65.0,,
AU-002101,realestate.com.au,178 King Parade,Footscray,vic.,3011,Maribyrnong,Western Metropolitan,6.0,-37.582601,,house ,3.0,1,,2.0,1607.0 sqm,,1957.0,,,"$772,000",772000,2021-06-29,Private Treaty,38,,Biggin & Scott,biggin & scott,03 5248 9506,0.1,Strong,Victoria snap lockdown (June); clearance dips briefly; national momentum holds,817000.0,68.0,,11103.0
AU-006949,realestate.com.au,54 Queen St,Brunswick,vic,3056,Moreland,Northern Metropolitan,5.5,-37.578971,144.817208,Villa Unit,1,2,1,2.0,331.0,471.0,1905.0,N,true,"$414,000",414000,04-11-2022,PS,74,Open Saturday,McGrath,McGrath,03 4700 8401,2.85,Weak,National prices -6% from peak; Melbourne -7%; clearance slowly recovering,868000.0,46.0,400.0,
AU-003595,realestate.com.au,96 Brown Place,Toowoomba,Queensland,4350,Toowoomba,Regional QLD,130.0,,,house,6,1,2,1.0,664.0,360.0,2010.0,No,Yes,"$626,000",626000,12 November 2021,auction,33,By appointment,Buxton,Buxton,02 9976 5222,0.1,FOMO,"Melbourne median hits record $1,094k; Sydney above $1.3M; national +24.5% YoY",499000.0,88.0,540.0,
AU-000880,Domain ,111 Oak Avenue,Chatswood,Nsw,2067,Willoughby,Inner Sydney,,-33.849205,151.264751,townhouse,,1,1,1.0,1823 square metres,448sqm,1943.0,yes,true,1490000,1490000,"Mar 21, 2021",auction,28,By appointment,,Woodards,02 2157 8977,0.1,FOMO,Strongest monthly growth in 32 years; buyers waiving conditions,,80.4,,8238.0
AU-008804,realestate.com.au,132 Church Avenue,Manly,nsw.,2095,Northern Beaches,Inner Sydney,17.0,-33.731312,150.970249,unit duplex,3,1,1,1.0,,295.0,2015.0,,1,"$1,550,000",1550000,23/06/2023,,N/A,,LJ Hooker,LJ Hooker,02 9221 8935,4.1,Resilient,Surprise RBA hike to 4.10%; prices still rising on supply shortage,2890000.0,72.6,,2022.0
AU-002834,Agent Website,,Brunswick,vic,3056,Moreland,,5.5,-38.362225,,house ,4,1,3,1.0,1118m2,340sqm,,False,,"$929,000",929000,Sep-21,PS,29,Online auction,Woodards,Woodards,03 8723 9630,0.1,Recovering,NSW roadmap out of lockdown announced; confidence begins recovering,,,,3539.0
AU-007921,Domain,45 Brown Pde,Ballarat,VIC,3350,City of Ballarat,Regional VIC,,-37.775491,145.082009,Hse,2,,1,2.0,849.0,,1924.0,no,Y,Contact Agent,446000,29-03-2023,EOI,40,Inspect Sat/Sun,LJ HOOKER,lj hooker,,3.6,Recovering,,,62.0,,
AU-008666,REA,148 Station Ct,Parramatta,New South Wales,2150,Parramatta,,23.0,,,UNIT,-,2,0,2.0,1069,91sqm,,false,0,"$591,000",591000,25/05/2023,,,,Ray White,Ray White,02 5947 9797,3.85,Improving,RBA pauses; market reads it as peak; buyer confidence returns,,,,11190.0
