Employee_ID,Age,Department,Work_Arrangement,Weekly_Hours,Productivity_Score,Years_at_Company,Education_Level,Gender,Job_Level,Satisfaction_Score,Training_Hours
1,60,HR,Remote,50,9.6,12,Master,Male,Senior,8.4,40
2,50,HR,In-Office,41,10.0,5,Bachelor,Male,Mid,1.3,8
3,36,HR,In-Office,38,7.4,4,High School,Male,Mid,6.7,42
4,64,HR,Remote,30,9.8,8,Bachelor,Female,Mid,4.1,42
5,29,Marketing,In-Office,47,6.1,15,Bachelor,Female,Mid,3.6,6
6,42,Sales,Remote,50,3.3,1,High School,Female,Entry,4.5,41
7,60,Finance,Remote,33,4.9,0,High School,Other,Senior,4.1,3
8,40,IT,Remote,39,6.3,7,High School,Male,Entry,8.5,4
9,44,Sales,In-Office,36,1.7,18,Master,Male,Mid,3.5,4
10,32,HR,In-Office,30,6.6,10,High School,Male,Entry,7.6,10
11,32,Sales,Remote,46,9.8,11,Bachelor,Male,Mid,1.8,40
12,45,Finance,Remote,31,2.7,11,Bachelor,Male,Mid,9.6,27
13,57,IT,Remote,40,8.1,6,Bachelor,Male,Mid,6.6,15
14,61,IT,Remote,38,9.2,12,Master,Female,Entry,7.4,40
15,45,Finance,Remote,36,9.5,7,High School,Female,Mid,3.7,29
16,24,Finance,In-Office,46,9.6,8,Bachelor,Female,Manager,4.7,3
17,43,HR,Remote,46,5.7,6,Bachelor,Female,Senior,3.0,1
18,23,IT,In-Office,31,9.8,20,Master,Male,Entry,9.4,45
19,45,Sales,Remote,35,7.8,14,Bachelor,Female,Entry,5.4,2
20,65,Marketing,In-Office,43,2.5,1,Master,Female,Senior,6.7,49
21,51,Marketing,In-Office,35,5.3,19,High School,Female,Mid,7.6,20
22,59,Finance,In-Office,31,7.5,11,Bachelor,Male,Mid,4.3,5
23,23,HR,In-Office,30,3.2,0,Bachelor,Male,Senior,7.5,42
24,42,Marketing,In-Office,39,6.8,7,Master,Male,Senior,7.1,17
25,54,IT,In-Office,50,7.0,4,High School,Female,Mid,7.4,43
26,33,Finance,Remote,34,2.5,14,High School,Female,Mid,5.4,4
27,43,Sales,In-Office,31,6.1,0,Bachelor,Female,Entry,4.4,8
28,65,Finance,Remote,45,7.9,0,High School,Male,Mid,3.0,19
